epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,14749.9,0.78919,0.76988,1.19368,0.61994,0.69014,0.71262,0.47131,1.13649,1.24239,1.51153,9.49e-05,9.49e-05,9.49e-05
96,14904.6,0.78031,0.76042,1.19057,0.63221,0.66565,0.71145,0.48646,1.12429,1.30418,1.51205,9.325e-05,9.325e-05,9.325e-05
97,15060.2,0.79267,0.77708,1.1969,0.60164,0.68321,0.69048,0.46678,1.13163,1.50062,1.53559,9.16e-05,9.16e-05,9.16e-05
98,15215.4,0.78118,0.74799,1.18394,0.61598,0.71166,0.70606,0.47197,1.1272,1.2576,1.51649,8.995e-05,8.995e-05,8.995e-05
99,15369.9,0.78862,0.74611,1.18077,0.6051,0.71119,0.70138,0.46656,1.15323,1.36412,1.55529,8.83e-05,8.83e-05,8.83e-05
100,15525.6,0.76369,0.74652,1.16949,0.58855,0.70317,0.69101,0.47167,1.15145,1.28698,1.56253,8.665e-05,8.665e-05,8.665e-05
101,15681.6,0.76909,0.73283,1.17017,0.66743,0.64034,0.68335,0.44841,1.15371,1.41117,1.57777,8.5e-05,8.5e-05,8.5e-05
102,15837.4,0.76196,0.75635,1.17156,0.6342,0.67166,0.72606,0.48859,1.14693,1.28165,1.54949,8.335e-05,8.335e-05,8.335e-05
103,15992.7,0.75873,0.72941,1.16723,0.5943,0.71103,0.70775,0.47766,1.13985,1.33255,1.53544,8.17e-05,8.17e-05,8.17e-05
104,16147.7,0.76368,0.75284,1.1685,0.69164,0.65643,0.72162,0.49373,1.1185,1.24175,1.50295,8.005e-05,8.005e-05,8.005e-05
105,16303,0.7652,0.75608,1.17456,0.67222,0.60703,0.69977,0.47432,1.11075,1.31818,1.49157,7.84e-05,7.84e-05,7.84e-05
106,16458,0.76713,0.73225,1.17307,0.62313,0.70417,0.73027,0.50071,1.12493,1.22694,1.48874,7.675e-05,7.675e-05,7.675e-05
107,16613.6,0.74747,0.71484,1.15599,0.64823,0.67821,0.73519,0.50924,1.09752,1.33676,1.5005,7.51e-05,7.51e-05,7.51e-05
108,16768.1,0.73447,0.70406,1.14376,0.65327,0.65614,0.71234,0.49491,1.08717,1.31676,1.48937,7.345e-05,7.345e-05,7.345e-05
109,16923.3,0.73204,0.70868,1.15304,0.71455,0.6131,0.72504,0.50128,1.09007,1.29569,1.48624,7.18e-05,7.18e-05,7.18e-05
110,17078.2,0.74796,0.71293,1.15648,0.62565,0.69344,0.72526,0.50691,1.09452,1.33732,1.50205,7.015e-05,7.015e-05,7.015e-05
111,17233.5,0.75717,0.72733,1.16416,0.62286,0.68529,0.73754,0.4989,1.12519,1.19741,1.50545,6.85e-05,6.85e-05,6.85e-05
112,17388.6,0.74548,0.7228,1.15393,0.63804,0.6772,0.75032,0.50748,1.12206,1.22428,1.52254,6.685e-05,6.685e-05,6.685e-05
113,17543.9,0.73475,0.69062,1.15181,0.61182,0.69651,0.70508,0.47325,1.11632,1.38684,1.51265,6.52e-05,6.52e-05,6.52e-05
114,17699.4,0.74182,0.70555,1.15407,0.61086,0.72692,0.73015,0.49927,1.13782,1.19587,1.54033,6.355e-05,6.355e-05,6.355e-05
115,17854.4,0.71739,0.69984,1.14245,0.74702,0.63058,0.72991,0.51188,1.11279,1.21885,1.50569,6.19e-05,6.19e-05,6.19e-05
116,18008.9,0.71257,0.69408,1.14504,0.63461,0.65709,0.70862,0.49201,1.10105,1.31412,1.49773,6.025e-05,6.025e-05,6.025e-05
117,18163.6,0.72116,0.6727,1.13352,0.7196,0.61732,0.74028,0.50888,1.1205,1.27839,1.51879,5.86e-05,5.86e-05,5.86e-05
118,18318.4,0.72215,0.68796,1.14821,0.60193,0.74946,0.74645,0.50769,1.11572,1.20388,1.51614,5.695e-05,5.695e-05,5.695e-05
119,18472.8,0.72516,0.66909,1.13679,0.69317,0.63753,0.73428,0.50398,1.12926,1.28545,1.51254,5.53e-05,5.53e-05,5.53e-05
120,18627.6,0.7269,0.67857,1.14382,0.66114,0.68057,0.72387,0.50114,1.09169,1.23218,1.48266,5.365e-05,5.365e-05,5.365e-05
